,id,country,weight,width,height,thickness,screen_resol,screen_size,screen_type,MaxSDMemory,PhoneMemory,RAM,OperSystem,SIMType,Warranty,CPUType,CPUFreq,CPUCores,MainCameraMP,FrontCameraMP,SIMNumber,Wireless,CommunicStand,SatelliteNavig,Battery,InterfaceType,MusicWorkingTime,VideoWorkingTime,sales_count
271,38764016,Китай,178 г,7.78 см,15.6 см,0.95 см,1560x720,6.1'',IPS,128 ГБ,32 ГБ,2 ГБ,Android,NanoSIM,1 год,Spreadtrum SC9832E,1400 МГц,4,5 Мп,5 Мп,2,Wi-Fi (802.11 n); Bluetooth 4.2,2G / 3G / 4G LTE,GPS / AGPS,3000 мАч,mini-jack 3.5 mm; microUSB,,,600
272,119037931,Китай,196 г,7.7 см,16.5 см,0.9 см,1600x720,"6.53""",IPS,512 ГБ,64 ГБ,3 ГБ,Android 10,Nano-SIM,1 год,MediaTek Helio G35,2300 МГц,8 ядер,,5 Мп,2,NFC; Bluetooth 5.0; WiFi,3G; 4G,BeiDou; Galileo; GPS,5000 мА*ч,Micro USB; jack 3.5 mm,,,800
273,114447594,Китай,203 г,7.15 см,14.6 см,0.76 см,2778x1284,"6.1""",OLED,,1 ТБ,,iOS,Nano-SIM,1 год,Apple A15 Bionic,3200 МГц,6 ядер,,,1,Bluetooth 5.0; NFC; Wi-Fi,4G; LTE; 5G,GPS; Galileo; ГЛОНАСС,,Lightning,,,20
274,114447575,Китай,238 г,7.8 см,16 см,0.76 см,2778x1284,"6.7""",OLED,,512 ГБ,,iOS,Nano-SIM,1 год,Apple A15 Bionic,3200 МГц,6 ядер,,,1,Wi-Fi; NFC; Bluetooth 5.0,5G; LTE; 4G,Galileo; GPS; ГЛОНАСС,,Lightning,,,50
275,92193971,Китай,179.5 г,10 см,15.99 см,0.81 см,2400x1080,"6.43""",FHD+ AMOLED,,128 ГБ,6 ГБ,Android,Nano-SIM,1 год,MediaTek Helio G96,2050 МГц,восьмиядерный ЦП,64 Мп,16 Мп,2,Bluetooth; NFC; Wi-Fi; ИК-Порт,4G/3G/2G,GPS: L1; ГЛОНАСС:G1; Galileo: E1,5000 мАч,3.5 mm; Type - C,,,40
276,72287625,Китай,202 г,7.61 см,16.42 см,0.81 см,2400 x 1080,"6,67""",AMOLED,,128,8,Android,Nano-SIM,1 год,MediaTek Helio G96,,8,,16 Мп,2,NFC; Wi-Fi; Bluetooth 5.1; ИК-Порт; GPS,3G; 2G; 4G (LTE),GPS;A-GPS;GALILEO;Beidou;ГЛОНАСС,5000 mAh,,,,1300
277,115424053,Китай,204 г,,17 см,,1650 x 720,"6,71""",,1 ТБ,64 ГБ,4 ГБ,Andorid,,1 год,JLQ JR510,,8,13 Мп,,2 SIM,Bluetooth; Wi - Fi,,,6000 мAч,USB Type C,,,400
278,118793534,Китай,197 г,76.1 см,164.7 см,0.84 см,1600 x 720,"6,5""",IPS,1 ТБ,,,Android,Nano-SIM,1 год,Unisoc,1800 МГц,8,13 Мп,,2,Wi-Fi; NFC; Bluetooth 5.0,2G / 3G / 4G LTE,GPS; ГЛОНАСС; A-GPS,5000 mAh,Micro USB; mini-jack 3.5 mm,,,200
279,127700602,Китай,183 г,7.5 см,16.4 см,0.85 см,1600х720,"6.5""",IPS,1 ТБ,64 ГБ,4 ГБ,Android,nano SIM,1 год,Unisoc,,8,8 Мп,,2,Bluetooth; Wi-Fi; GPS,2G; 3G; 4G,,5000 мАч,Micro-USB; 3.5 mm,,,500
280,68902190,Китай,195 г,7.6 см,16.4 см,0.96 см,1600 x 720; 1600x720,"6.6""",IPS,128 ГБ,32 ГБ,2 ГБ,Android; Android 11 Go,Nano-SIM,1 год,UniSoC Spreadtrum SC9832E,1400 МГц,4,,,2 SIM; 2 шт,Bluetooth 4.2; WI-FI 2.4 GHz,2G / 3G / 4G LTE,GPS / ГЛОНАСС / Beidou; GPS,4000 мАч,Micro USB,,,600
