,Наименование,Скидка,Цена,Цена со скидкой,Бренд,feedbacks,rating,Ссылка,high_rating,memory_size,op_memory,bought,screen_size
2277,"Galaxy S21 FE 6 , фиолетовый",20,59990,47992,Samsung,2,5,https://www.wildberries.ru/catalog/104529392/detail.aspx?targetUrl=BP,1,128Gb,,,
2282,Xiaomi note 11 6.43 дюйм 2400 x 1080 AMOLED …,0,17550,17550,Redmi,2,4,https://www.wildberries.ru/catalog/112654903/detail.aspx?targetUrl=BP,1,128Gb,,,
2284,Galaxy Ace GT-S5830i Black,0,2990,2990,Samsung,6,4,https://www.wildberries.ru/catalog/106101908/detail.aspx?targetUrl=BP,1,0Gb,0Gb,30,3.5
2286,"S42 H   5,5"" 1440х720 IPS IP68",0,21990,21990,Caterpillar,2,3,https://www.wildberries.ru/catalog/44472182/detail.aspx?targetUrl=BP,0,32Gb,0Gb,5,5.5
2289,Redmi 9A  3 синий,13,8990,7821,Xiaomi,5,5,https://www.wildberries.ru/catalog/91189121/detail.aspx?targetUrl=BP,1,2Gb,,,
2291,Note 11 Pro 8 ,0,23290,23290,Redmi,4,5,https://www.wildberries.ru/catalog/129222164/detail.aspx?targetUrl=BP,1,128Gb,,,
2296,Xiaomi 10C 4 ,0,13793,13793,Redmi,3,5,https://www.wildberries.ru/catalog/105295839/detail.aspx?targetUrl=BP,1,128Gb,,,
2299,Vision 3,33,8990,6023,ITEL,2,5,https://www.wildberries.ru/catalog/95156952/detail.aspx?targetUrl=BP,1,32Gb,2Gb,5,6.6
2301,Redmi 9C 3  NFC,0,13850,13850,Xiaomi,1,5,https://www.wildberries.ru/catalog/98888722/detail.aspx?targetUrl=BP,1,64Gb,,,
2303,Hot 12 4 ,0,12090,12090,Infinix,1,5,https://www.wildberries.ru/catalog/100214690/detail.aspx?targetUrl=BP,1,128Gb,,,
2304,"С30 2 32b 6.5"" 1600x720",24,8990,6832,Realme,2,5,https://www.wildberries.ru/catalog/100074542/detail.aspx?targetUrl=BP,1,32Gb,,,6.5
2305,Ссмартфон N7 Air  16Gb,0,5880,5880,Coolpad,1,4,https://www.wildberries.ru/catalog/84352124/detail.aspx?targetUrl=BP,1,16Gb,2Gb,,
2307,Camon 19 Pro 8 ,0,17990,17990,TECNO,2,5,https://www.wildberries.ru/catalog/102687956/detail.aspx?targetUrl=BP,1,128Gb,,,
2309,Galaxy A13 3 ,11,14497,12902,Samsung,5,4,https://www.wildberries.ru/catalog/116076551/detail.aspx?targetUrl=BP,1,32Gb,,,
2311,Смартфон,11,6850,6096,TECNO,2,5,https://www.wildberries.ru/catalog/79831410/detail.aspx?targetUrl=BP,1,32Gb,2Gb,5,6.5
2312,X4 Pro  256Gb,0,29250,29250,POCO,8,5,https://www.wildberries.ru/catalog/117514031/detail.aspx?targetUrl=BP,1,256Gb,8Gb,,
2313,X4 Pro  256Gb,0,28340,28340,POCO,8,5,https://www.wildberries.ru/catalog/112132340/detail.aspx?targetUrl=BP,1,256Gb,8Gb,,
2317,11T Pro 8  RU,11,52535,46756,MI,2,5,https://www.wildberries.ru/catalog/48935028/detail.aspx?targetUrl=BP,1,128Gb,,,
2321,Xiaomi 10C 4 ,0,13650,13650,Redmi,3,5,https://www.wildberries.ru/catalog/111748504/detail.aspx?targetUrl=BP,1,128Gb,,,
2322,Redmi 9A ,15,9990,8491,Xiaomi,12,5,https://www.wildberries.ru/catalog/79971520/detail.aspx?targetUrl=BP,1,32Gb,,,
2323,Xiaomi 9A 2 ,0,7150,7150,Redmi,4,5,https://www.wildberries.ru/catalog/111729466/detail.aspx?targetUrl=BP,1,32Gb,,,
2325,10 Pro 12  Volcanic Black (Черный) Global Vers…,11,79335,70608,OnePlus,1,5,https://www.wildberries.ru/catalog/76802962/detail.aspx?targetUrl=BP,1,256Gb,,,
2326,Galaxy A5 (2017) SM-A520F DS,0,20460,20460,Samsung,1,1,https://www.wildberries.ru/catalog/106149272/detail.aspx?targetUrl=BP,0,0Gb,0Gb,5,5.2
2329,Redmi 10  6 NFC,30,20500,14350,Xiaomi,1,3,https://www.wildberries.ru/catalog/98874273/detail.aspx?targetUrl=BP,0,64Gb,4Gb,5,
2331,Galaxy A03S 3 32gb,0,10595,10595,Samsung,1,5,https://www.wildberries.ru/catalog/112940059/detail.aspx?targetUrl=BP,1,32Gb,,,
2334,Galaxy A13  128Gb,10,19990,17991,Samsung,1,4,https://www.wildberries.ru/catalog/103361971/detail.aspx?targetUrl=BP,1,128Gb,4Gb,,
2336,Galaxy S4 mini LTE-9195,0,8990,8990,Samsung,2,5,https://www.wildberries.ru/catalog/96895747/detail.aspx?targetUrl=BP,1,0Gb,0Gb,5,
2339,H2022 4 ,0,7990,7990,IIIF150,1,5,https://www.wildberries.ru/catalog/137747463/detail.aspx?targetUrl=BP,1,32Gb,,,
2342,4 Pro 12  Black (Черный) Global Version,11,53732,47821,Black Shark,1,5,https://www.wildberries.ru/catalog/71859421/detail.aspx?targetUrl=BP,1,256Gb,,,
2343,M4 5G 6  NFC,0,23986,23986,POCO,7,4,https://www.wildberries.ru/catalog/100862572/detail.aspx?targetUrl=BP,1,128Gb,,,
2345,Galaxy A03s ,13,13990,12171,Samsung,10,5,https://www.wildberries.ru/catalog/103553802/detail.aspx?targetUrl=BP,1,32Gb,,,
2347,"C30, 4.",12,8990,7911,Realme,1,5,https://www.wildberries.ru/catalog/96481113/detail.aspx?targetUrl=BP,1,64Gb,,,
2348,9A  3 серый,13,8990,7821,Redmi,3,5,https://www.wildberries.ru/catalog/94653659/detail.aspx?targetUrl=BP,1,32Gb,2Gb,20,6.53
2349,iPhone 14 Pro Max 1Tb (o-SIM   eSIM),21,275990,218032,Apple,4,5,https://www.wildberries.ru/catalog/139383691/detail.aspx?targetUrl=BP,1,1024Gb,,,
2352,iPhone 14 Pro 1Tb (o-SIM   eSIM),16,233990,196551,Apple,2,5,https://www.wildberries.ru/catalog/138524108/detail.aspx?targetUrl=BP,1,1024Gb,,,
2360,iPhone 14 Pro Max  (nano-SIM   eSIM),26,239990,177592,Apple,5,5,https://www.wildberries.ru/catalog/139462174/detail.aspx?targetUrl=BP,1,512Gb,,,
2363,iPhone 14 Pro  (nano-SIM   eSIM),19,209990,170091,Apple,4,5,https://www.wildberries.ru/catalog/139381186/detail.aspx?targetUrl=BP,1,512Gb,,,
2393,iPhone 14 Pro  (nano-SIM   eSIM),19,169990,137691,Apple,13,5,https://www.wildberries.ru/catalog/138506939/detail.aspx?targetUrl=BP,1,256Gb,,,
2427,iPhone 14 Plus  (nano-SIM   eSIM),24,149990,113992,Apple,3,5,https://www.wildberries.ru/catalog/138522902/detail.aspx?targetUrl=BP,1,512Gb,,,
2501,12T Pro RU,11,66221,58936,Xiaomi,2,5,https://www.wildberries.ru/catalog/123876036/detail.aspx?targetUrl=BP,1,128Gb,8Gb,0,6.67
2512,iPhone 11 ,13,64990,56541,Apple,1,5,https://www.wildberries.ru/catalog/140174743/detail.aspx?targetUrl=BP,1,128Gb,,,
2515, 12X  256Gb,35,85990,55893,Xiaomi,5,4,https://www.wildberries.ru/catalog/90490579/detail.aspx?targetUrl=BP,1,256Gb,8Gb,,
2533,"Galaxy S21 FE 6 , зеленый",20,59990,47992,Samsung,2,5,https://www.wildberries.ru/catalog/104529390/detail.aspx?targetUrl=BP,1,128Gb,,,
2549,A53  оранжевый (SM-A536E DS),0,35990,35990,Samsung,1,5,https://www.wildberries.ru/catalog/115936409/detail.aspx?targetUrl=BP,1,256Gb,,,
2559,"iPhone XR  ""Как новый""",0,40000,40000,Apple,4,4,https://www.wildberries.ru/catalog/104974581/detail.aspx?targetUrl=BP,1,128Gb,,,
2575,Galaxy A53 5G 6  (SM-A536ELBDSKZ),11,35897,31948,Samsung,1,5,https://www.wildberries.ru/catalog/133009848/detail.aspx?targetUrl=BP,1,128Gb,,,
2576,Galaxy A53 5G 6  (SM-A536EZWDSKZ),11,35777,31841,Samsung,1,5,https://www.wildberries.ru/catalog/133009824/detail.aspx?targetUrl=BP,1,128Gb,,,
2581,Galaxy A53 5G 6  (SM-A536EZODSKZ),11,35245,31368,Samsung,1,5,https://www.wildberries.ru/catalog/133009827/detail.aspx?targetUrl=BP,1,128Gb,,,
2589,Note 11 Pro 8 ,11,30856,27461,Redmi,1,1,https://www.wildberries.ru/catalog/77497594/detail.aspx?targetUrl=BP,0,128Gb,,,
2610,V25e 8 ,0,23990,23990,VIVO,1,5,https://www.wildberries.ru/catalog/122221262/detail.aspx?targetUrl=BP,1,128Gb,,,
2617,"Iphone 8 64 gb ""Как новый""",31,33000,22770,Apple,3,5,https://www.wildberries.ru/catalog/103677172/detail.aspx?targetUrl=BP,1,64Gb,,,
2630,Redmi Note 11S  64Gb синий,19,25990,21051,Xiaomi,1,5,https://www.wildberries.ru/catalog/90471504/detail.aspx?targetUrl=BP,1,64Gb,6Gb,,
2637,Redmi 10  6 NFC,0,20500,20500,Xiaomi,1,3,https://www.wildberries.ru/catalog/98876316/detail.aspx?targetUrl=BP,0,64Gb,4Gb,5,6.5
2648,Xiaomi Note 11 Pro 6 ,0,19760,19760,Redmi,2,5,https://www.wildberries.ru/catalog/99148812/detail.aspx?targetUrl=BP,1,64Gb,,,
2660,Xperia Z5 Compact,0,15290,15290,Sony,1,1,https://www.wildberries.ru/catalog/96899062/detail.aspx?targetUrl=BP,0,0Gb,0Gb,5,
2664,смартфон 9 5G 4 ,0,17999,17999,Realme,1,5,https://www.wildberries.ru/catalog/125028027/detail.aspx?targetUrl=BP,1,128Gb,,,
2668,Apple iPhone 7 ,0,17890,17890,Apple,1,1,https://www.wildberries.ru/catalog/102971704/detail.aspx?targetUrl=BP,0,32Gb,,,
2675,Xiaomi Note 11  128Gb,0,17160,17160,Redmi,2,5,https://www.wildberries.ru/catalog/111749498/detail.aspx?targetUrl=BP,1,128Gb,4Gb,,
2684,Galaxy A13  черный (SM-A135F DS),0,13990,13990,Samsung,2,5,https://www.wildberries.ru/catalog/115936381/detail.aspx?targetUrl=BP,1,64Gb,,,
2724,Redmi 10C ,26,18990,14052,Xiaomi,2,5,https://www.wildberries.ru/catalog/83210838/detail.aspx?targetUrl=BP,1,64Gb,,,
2735,Spark 9 Pro 4 ,0,13990,13990,TECNO,14,5,https://www.wildberries.ru/catalog/140128802/detail.aspx?targetUrl=BP,1,128Gb,,,
2740,M5 4  6.58 FHD  MTK G99,18,16990,13931,POCO,2,5,https://www.wildberries.ru/catalog/106176120/detail.aspx?targetUrl=BP,1,128Gb,,,
2761,Redmi 10C ,31,18990,13103,Xiaomi,2,5,https://www.wildberries.ru/catalog/90422386/detail.aspx?targetUrl=BP,1,64Gb,,,
2763,Galaxy S5 SM-G900F ,0,10990,10990,Samsung,1,1,https://www.wildberries.ru/catalog/96896454/detail.aspx?targetUrl=BP,0,16Gb,,,
2771,"C25s 6,5"" 4 64гб HD  6000 мАч NFC",0,12990,12990,Realme,1,5,https://www.wildberries.ru/catalog/46016394/detail.aspx?targetUrl=BP,1,64Gb,4Gb,5,6.5
2786,10C  64Gb серый,21,15990,12632,Redmi,9,4,https://www.wildberries.ru/catalog/94669604/detail.aspx?targetUrl=BP,1,64Gb,3Gb,20,6.71
